,tweet_id,tweet_posted_on,tweets,cleaned_tweets,user_location,polarity
0,1417185469247500288,2021-07-19 18:12:00+00:00,RT @Humana_Careers: Your health and well-being are our priority. We’re proud to offer our employees benefits that support their best health…,your health well being priority proud offer employee benefit that support their best health,Everywhere,1
1,1417185446812082189,2021-07-19 18:11:55+00:00,Your health and well-being are our priority. We’re proud to offer our employees benefits that support their best health.  #becominghumana #remotework #benefits #wellness #hiring https://t.co/B4w5fDDcwr,your health well being priority proud offer employee benefit that support their best health,"Louisville, KY ",1
2,1417185327039537155,2021-07-19 18:11:26+00:00,"Introduce strong programming standards; mentor young developers; lift the company.

Remote Software Engineering Manager (Clojure Team), $126K - 200K + Equity

#remotework #remotejobs #clojure #clojurescript

https://t.co/YrTHpSj2DR",introduce strong programming standard mentor young developer lift company remote software engineering manager clojure team equity,London | New York,1
3,1417184664742207493,2021-07-19 18:08:48+00:00,"Remote Software Engineering Manager (Clojure Team)

$126K - 200K + Equity

tl;dr Manager, or senior-level developer moving to managementDirect software engineering for a growing ed-tech firmFunctional pr...

#remotework #remotejobs #clojure #clojurescript

https://t.co/F93IamrlHj",remote software engineering manager clojure team equity manager senior level developer moving managementdirect software engineering growing tech firmfunctional,London | New York,0
4,1417184484512907273,2021-07-19 18:08:05+00:00,"“What sets Otter apart is the quick and easy transcription and integrations with other recording apps…”

To read more about how #journalists use @Otter_ai:
https://t.co/9aJ2z2DFCo 
#transcription #interviews #remotework #futureofwork https://t.co/IZW5bOx0hM",what set otter apart quick easy transcription integration with other recording apps read more about,"Mountain View, California",0
5,1417184247836721154,2021-07-19 18:07:09+00:00,"Employees are returning to the office, but certainly not in pre-pandemic rates as organizations have been more open to adjust for the needs of their employees https://t.co/jO5cnW9gwb #remotework #employeeexperience https://t.co/OnM7ZYr9DF",employee returning office certainly pandemic rate organization have been more open adjust need their employee,"Cambridge, MA",0
6,1417184209651658753,2021-07-19 18:07:00+00:00,"Are you having any issues securing your company's #RemoteWork in any of these functional areas? Contact @Expeflow today if you would like better, smarter #Workflow solutions in days or a few weeks rather than months or years!  https://t.co/7qsOHf4iTq https://t.co/yf3SKR1m4B",having issue securing your company these functional area contact today would like better smarter solution day week rather than month year,"Waterloo, Ontario Canada",0
7,1417184003078201349,2021-07-19 18:06:10+00:00,"In this recent piece with @ComplishApp I dive into some of the critical mindset shifts required of #remoteleaders, the skills needed to lead a #business with cross border #remoteemployees, and much more! https://t.co/dke0WXOCw2

#remotework #futureofwork #remotemanagement",this recent piece with dive into some critical mindset shift required skill needed lead with cross border much more,Global,1
8,1417183728447721476,2021-07-19 18:05:05+00:00,"Help address climate change | build the back-end of renewable energy data management platform

Check out this Remote Full-Stack Developer role working with Backend, Functional javascript &amp; Javascript

#remotework #remotejobs #backend

https://t.co/hFXb5nqaFA",help address climate change build back renewable energy data management platform check this remote full stack developer role working with backend functional javascript javascript,London | New York,0
9,1417183639893385217,2021-07-19 18:04:44+00:00,RT @AkwyZ: Tech Talent Wars. #RemoteWork Is the Hottest Office Perk.The same millennials who thrilled at free beer are higher-ups in their…,tech talent war hottest office perk same millennials thrilled free beer higher their,Ireland,1
10,1417183622692544518,2021-07-19 18:04:40+00:00,RT @AkwyZ: Tech Talent Wars. #RemoteWork Is the Hottest Office Perk.The same millennials who thrilled at free beer are higher-ups in their…,tech talent war hottest office perk same millennials thrilled free beer higher their,"Portland, OR",1
11,1417183494355161088,2021-07-19 18:04:09+00:00,"Remote Cloud Engineer (Pulumi) with competitive compensation

Check out this role working with Aws, Azure &amp; Kubernetes

#remotework #remotejobs #aws #azure #kubernetes

https://t.co/oCbha6bFzl",remote cloud engineer pulumi with competitive compensation check this role working with azure kubernetes,London | New York,0
12,1417183491863760900,2021-07-19 18:04:09+00:00,"Check out Moixa

They're looking for a Remote Senior Data Scientist (GMT +/-2) and offering £60K - 75K + Equity

#remotework #remotejobs #bigdata #deeplearning

https://t.co/uX4FnSdw7q",check moixa they looking remote senior data scientist offering equity,Remote,0
13,1417183397940801536,2021-07-19 18:03:46+00:00,"RT @SonatafyM: Come join the #Sonatafy family and do great things. We offer engaging opportunities and the environment to succeed.

Check t…",come join family great thing offer engaging opportunity environment succeed check,Everywhere,1
14,1417183235612753926,2021-07-19 18:03:08+00:00,"RT @compa_as: Important thoughts from @shiraovide on the need to forge a more democratic path for remote work - ""The ability to work online…",important thought from need forge more democratic path remote work ability work online,"Berlin, Germany",1
15,1417183036454617094,2021-07-19 18:02:20+00:00,"Important thoughts from @shiraovide on the need to forge a more democratic path for remote work - ""The ability to work online shouldn’t be a nice-to-have for a select few, but an option for all."" - @nytimes #HR #HRleadership #WFH #remotework #FutureOfWork https://t.co/kKE01jCML5",important thought from need forge more democratic path remote work ability work online shouldn nice have select option,"California, USA",0
16,1417182997669896193,2021-07-19 18:02:11+00:00,"How has remote work impacted your cybersecurity? For 66% of companies it's led to an increase in phishing threats. 😱

Learn about the state of remote work in this @Cybersecinsider report: https://t.co/iUBrIpJuD1

#remotework #hybridwork #cybersecurity #MFA #ITsecurity https://t.co/mqQyLD4Dhw",remote work impacted your cybersecurity company increase phishing threat learn about state remote work this report,"San Jose, California",0
17,1417182981656129538,2021-07-19 18:02:07+00:00,"The workplace is changing. Many managers are tasked with leading multiple generations with different sets of preferences and expectations. Personalize your approach...understand what YOUR employees really want. It all starts with a question. 

#employeeexperience #remotework https://t.co/jamz3YdLWA",workplace changing many manager tasked with leading multiple generation with different set preference expectation personalize your approach understand what your employee really want start with question,"Sacramento, CA",1
18,1417182972613124104,2021-07-19 18:02:05+00:00,"Whether your business will be utilizing an in-person, hybrid, or #remotework model, putting infrastructure in place and undoing the patchwork systems from 2020 is straining #IT teams. @CIODive shares tips on facing this challenge in the article below.
https://t.co/0uPkPRyOqP",whether your business will utilizing person hybrid model putting infrastructure place undoing patchwork system from straining team share tip facing this challenge article below,"Salem, NH",0
19,1417182951553617926,2021-07-19 18:02:00+00:00,Looking to make a new remote hire? Here’s what to look for: https://t.co/EI2trXnGjh #remotework #hiring,looking make remote hire here what look,"Indianapolis, Indiana",0
20,1417182887326228485,2021-07-19 18:01:44+00:00,"Help your team transform its virtual interactions. Download the Free 'Loving Remote' Book Now:  https://t.co/y7Jje6CwU2  

#smallbusiness #remotework #culture #comms #virtualteam #protips",help your team transform virtual interaction download free loving remote book,Worldwide,1
21,1417182802144120844,2021-07-19 18:01:24+00:00,"A carefully honed strategy is crucial to creating a remote work policy that functions well for both employers and workers, but it can take time to develop.
Discover how we can help 👉 https://t.co/MSuYCcPf9L.
-
#RemoteWork #Strategy #Recruiting https://t.co/wXpYlXGpUF",carefully honed strategy crucial creating remote work policy that function well both employer worker take time develop discover help,Atlanta & Tampa,1
22,1417182781298380805,2021-07-19 18:01:19+00:00,"Data Scientist needed for this distributed smart energy technology start-up -

Remote Senior Data Scientist (GMT +/-2), £60K - 75K + Equity

#remotework #remotejobs #bigdata #deeplearning

https://t.co/OuSTjxeAV0",data scientist needed this distributed smart energy technology start remote senior data scientist equity,London | New York,0
23,1417182748834476040,2021-07-19 18:01:11+00:00,7 Tips to Achieve eCommerce Moments of Truth with UX Design @Shift4Shop #UX #remotework #ecommerce https://t.co/RLFFp7API1 https://t.co/pTOdQ90Szs,tip achieve ecommerce moment truth with design,Nevada,1
24,1417182719407177734,2021-07-19 18:01:04+00:00,"Hybrid work is happening as companies recognize the value of our new normal. https://t.co/XYWyBced2p

#dhmovement #deliveringhappiness #happiness #culture #hybridwork #remotework #workplace #apple #microsoft #collaboration #homeoffice #newnormal #change https://t.co/PenBGymajF",hybrid work happening company recognize value normal,"San Francisco, CA",1
25,1417182718413135875,2021-07-19 18:01:04+00:00,"IoT Devices Pose Security Risks for Remote Employees | Aligned Technology Solutions https://t.co/i54tYpgvLE

#myalignedit #cybersecurity #remotework",device pose security risk remote employee aligned technology solution,"Alexandria, VA",0
26,1417182648393510913,2021-07-19 18:00:48+00:00,"Systems Integration Engineer / Remote working / £50,000
from Avanti Recruitment Ltd
#SystemsEngineer #remotework
https://t.co/K2MbOKKTvZ",system integration engineer remote working from avanti recruitment,United Kingdom UK GB,0
27,1417182635839926278,2021-07-19 18:00:45+00:00,RT @HathorNetwork: #Hiring - We are looking for a Head of #Design to join Hathor Network and Labs to guide the #creative department in-hous…,looking head join hathor network lab guide department hous,France,0
28,1417182458424999941,2021-07-19 18:00:02+00:00,Get ready for #remote #job as Sales &amp; Product Specialist for Bitwarden (@bitwarden). https://t.co/sW25s8e3vo #workfromhome #hiring #remotejob #remotework #sales #marketing,ready sale product specialist bitwarden,Anywhere,1
29,1417182353177432073,2021-07-19 17:59:37+00:00,The way that many companies are organising Hybrid is so full of issues that it's just about as bad a way of working as you could come up with https://t.co/GGGZLQRfk7 #remotework #remotejobs  #remotework #HybridWorkforce #FutureOfWork https://t.co/GH5Rod0Jhf,that many company organising hybrid full issue that just about working could come with,Surrey UK,0
30,1417182249951367170,2021-07-19 17:59:13+00:00,"MediaCentral is Avid’s open, scalable, and secure media platform for generating and distributing content quickly

▶️ https://t.co/4vJtsk1465

#avid #mediacentral #broadcast #newsroom #news #sports #cloud #media #mobile #remotework https://t.co/xVhhaDmDtV",mediacentral avid open scalable secure medium platform generating distributing content quickly,Worldwide,1
31,1417181981885059089,2021-07-19 17:58:09+00:00,"Check out Sennen

They're looking for a Remote Full-Stack Developer and offering competitive compensation

#remotework #remotejobs #backend

https://t.co/aHTis6gUCs",check sennen they looking remote full stack developer offering competitive compensation,London | New York,0
32,1417181810367270915,2021-07-19 17:57:28+00:00,"Not the 1st time I've heard of employers monitoring slack channels. 

Ethical to monitor employee communications? As we move to #remotework, if such mediums of communication are monitored, then is employee #privacy effectively dead? 
https://t.co/Vud8yF5guC",time heard employer monitoring slack channel ethical monitor employee communication move such medium communication monitored then employee effectively dead,"Chicago, IL",0
33,1417181763105869826,2021-07-19 17:57:16+00:00,"RT @RemoteForever: I haven’t seen my family for two years because I care about them not catching Covid (at least not from me)…

If your emp…",haven seen family year because care about them catching covid least from your,här och där i Sverige,1
