,tweet_id,tweet_posted_on,tweets,cleaned_tweets,user_location,polarity
0,1417169417587265540,2021-07-19 17:08:13+00:00,"Here are some best sites to find remote jobs. The best part is that you can most likely find a job based on your skill because these platforms offer many job categories.

- Flexjobs
- JustRemote
- WeWorkRemotely

#WorkingMumKitty #workfromhome #freelancer #wfhjobs #monday https://t.co/98NM4K60Z3",here some best site find remote job best part that most likely find based your skill because these platform offer many category flexjobs justremote weworkremotely,United Kingdom,0
1,1417168947422576643,2021-07-19 17:06:21+00:00,The Writing Mom’s Manifesto - via @pensignal #Parenting #WorkLifeBalance #WorkFromHomeMom #WorkFromHome #WritingLife https://t.co/CETvRhN20V,writing manifesto,"KY, USA",1
2,1417168870348050436,2021-07-19 17:06:03+00:00,"Excellent Work From Home Jobs, Where to Find Them

Start today!! https://t.co/kXEolIuRvt

#workfromhome #makemoney https://t.co/osDPwJA35h",excellent work from home job where find them start today,North America,1
3,1417168776441876483,2021-07-19 17:05:40+00:00,"Stop him raiding our pensions #pensionraid &amp; avoiding the 8% increase due in April 2022. 

Rishi Sunak faces severe backlash for 'scandalous' pension raid from MPs as he attempts to rob pensioners to pay Paul 

#pensionraid #uk pensions #WorkFromHome #heatingoilprices #Sunak https://t.co/puguqIimLb",stop raiding pension avoiding increase april rishi sunak face severe backlash scandalous pension raid from attempt pensioner paul pension,United Kingdom,0
4,1417168685341544448,2021-07-19 17:05:18+00:00,"Today's average UK #heatingoil price is 44.62ppl

Check your #heatingoil tank!

If you have less than 25% of oil in your tank look at getting multiple oil quotes from us https://t.co/urxB7bi1WG

#WorkFromHome #heatingoilprices #heatingoilsuppliers #cheapheatingoil #heatingoiltank https://t.co/5PanxzjoyX",today average price check your tank have le than your tank look getting multiple quote from,United Kingdom,0
5,1417168664785207305,2021-07-19 17:05:14+00:00,"12 Critical eBooks That are The Keys to Success When Working As a #Freelancer to Rebuild Your Finances Post CV19 Pandemic.
Review &amp; purchase here: https://t.co/ksKJQXTxqw
#Freelancing #SkillsTraining #Budgeting #WorkFromHome #FreelanceTraining #AdditionalIncome @FrelanceWkGuide https://t.co/DmY07wDK0L",critical ebooks that key success when working rebuild your finance post pandemic review purchase here,Worldwide,1
6,1417168593834450949,2021-07-19 17:04:57+00:00,"RT @GratisJobs: Home-based Face to Face Manager (Fundraising) required in Norfolk 
RNLI | Full-time, permanent job | £30,978 per annum + co…",home based face face manager fundraising required norfolk rnli full time permanent annum,"Norfolk, United Kingdom",0
7,1417168114651910144,2021-07-19 17:03:02+00:00,"10 Best 👍 Gaming 🕹️, Students, Home 🏠 And Work Laptops 💻 Under Rs 40000 (2021)😀
✅Read about them👉https://t.co/qL3KZiBXyE
#technews #tech #Laptop #gaming #WorkFromHome https://t.co/MqtTvheEyv",best gaming student home work laptop under read about them,Haryana,1
8,1417167663336394753,2021-07-19 17:01:15+00:00,"📣Tell us about your workplace technology for your chance to win an Oculus Quest 2. Take our quick survey to enter for your chance to win. 

https://t.co/wmojmfrRgn

#sweepstakes #workfromhome #WFH https://t.co/iY4xKQYjBT",tell about your workplace technology your chance oculus quest take quick survey enter your chance,"Santa Clarita, CA",1
9,1417167534160285704,2021-07-19 17:00:44+00:00,"Introducing the next feature update to Windows 10: 21H2 - https://t.co/SpPyKVHNoG

Free Computer Repair Software
See profile link to download
.
.
.
#smallbusiness #digitalmarketing #affiliatemarketing #affiliates #homebusiness #workfromhome #workfromanywhere https://t.co/bLMkwxwIrH",introducing next feature update window free computer repair software profile link download,"Bakersfield, CA, USA",0
10,1417167514279235584,2021-07-19 17:00:39+00:00,"Should we return to the workplace like before?  
 
Jack Steward of Findstack compiled the ultimate list of remote work statistics.  

Here is what you need to know 👉🏾 https://t.co/L341eapkWL   

#remotework #workfromhome #wfh #remotework",should return workplace like before jack steward findstack compiled ultimate list remote work statistic here what need know,"San Jose, CA",0
11,1417167498227720206,2021-07-19 17:00:35+00:00,#WorkFromHome writing email and other copy for @Vistaprint. #WFH #hiring https://t.co/NZLvBzBwFT,writing email other copy,"St Petersburg, FL",0
12,1417167456141987841,2021-07-19 17:00:25+00:00,Our Golden Gate bar stools from Truex are perfectly suited for this standing desk from Facets.  #madetoorder #handcrafted #takeaseat #luxurybrand #truex #modernluxury #madeinmichigan #oak #standupdesk #standingdesk #customfurniture #homeoffice #workfromhome https://t.co/5bc0tyNnsn,golden gate stool from truex perfectly suited this standing desk from facet,"Grand Rapids, MI USA",1
13,1417167334624534544,2021-07-19 16:59:56+00:00,"Try at your own risk 😈
#EmployeesFirst #WorkFromHome https://t.co/sBAuSFDBhf",your risk,"New Delhi, India",0
14,1417166836744007681,2021-07-19 16:57:58+00:00,"ATTENTION NEWBIES!!!  👇👇 🤩

We are running a 5 day email building challenge - 🚴🚴🚴🚴🚴

👇👇👇👇👇👇

 or click the link below 

https://t.co/HwYOu890RU
  #AffiliateMarketing networkmarketing success #entrepreneur #makemoneyonlinenow #WorkFromHome https://t.co/0aNF1XEaoa",attention newbie running email building challenge click link below networkmarketing success,"New Westminster, BC",0
15,1417166671341670400,2021-07-19 16:57:18+00:00,Our doggies are happy; they love having mom and dad home all the time. Working from home is GREAT!!  #workfromhome https://t.co/PyE83QQrTJ,doggy happy they love having home time working from home great,"Chapala, Jalisco Mexico",1
16,1417166507105210369,2021-07-19 16:56:39+00:00,"#WallStreet firms are taking different approaches to #workfromhome / #returntooffice plans as cities and offices reopen, with some firms hoping more flexibility wins out and allows them to poach top talent. @JAVerlaine and @DaveCBenoit @WSJ have a look. https://t.co/xkxJ2WAiK0",firm taking different approach plan city office reopen with some firm hoping more flexibility win allows them poach talent have look,New York City,1
17,1417166430215319553,2021-07-19 16:56:21+00:00,"RT @Mumbai_Vacancy: WHATSAPP OR GIVE A RING @ 9819252892
#parttime #mumbai #thane #workfromhome #fulltime
#parttimejob #nahur #bhandup #ful…",whatsapp give ring,Mumbai,1
18,1417166352809406468,2021-07-19 16:56:02+00:00,"RT @Mumbai_Vacancy: WHATSAPP OR GIVE A RING @ 9819252892
#parttime #mumbai #thane #workfromhome #fulltime
#parttimejob #nahur #bhandup #ful…",whatsapp give ring,Mumbai,1
19,1417166046318977026,2021-07-19 16:54:49+00:00,"RT @Mumbai_Vacancy: WHATSAPP OR GIVE A RING @ 9819252892
#parttime #mumbai #thane #workfromhome #fulltime
#parttimejob #nahur #bhandup #ful…",whatsapp give ring,Mumbai,1
