,tweet_id,tweet_posted_on,tweets,cleaned_tweets,user_location,polarity,user_location_cleaned
0,1419503491010244610,2021-07-26 03:43:00+00:00,"RT @dnaRtests: Great speaker! Highly recommend!
$19.57
#100daysOfCode #IndieGame #linux #DCComics #JavaScript #ReleaseTheSnyderCut #DCUnive…",great speaker highly recommend daysofcode,Jammu And Kashmir,1,IN
1,1419503485876326402,2021-07-26 03:42:58+00:00,"RT @dnaRtests: Great speaker! Highly recommend!
$19.57
#100daysOfCode #IndieGame #linux #DCComics #JavaScript #ReleaseTheSnyderCut #DCUnive…",great speaker highly recommend daysofcode,Prague,1,None
2,1419503482483187713,2021-07-26 03:42:57+00:00,"RT @dnaRtests: Great speaker! Highly recommend!
$19.57
#100daysOfCode #IndieGame #linux #DCComics #JavaScript #ReleaseTheSnyderCut #DCUnive…",great speaker highly recommend daysofcode,Earth,1,None
3,1419503451046912006,2021-07-26 03:42:50+00:00,"RT @dnaRtests: Great speaker! Highly recommend!
$19.57
#100daysOfCode #IndieGame #linux #DCComics #JavaScript #ReleaseTheSnyderCut #DCUnive…",great speaker highly recommend daysofcode,Kenya,1,KE
4,1419500272926273539,2021-07-26 03:30:12+00:00,"It is obvious that everyone loves working from home for the comfort and the perks. So, what is your preference and why? Share your thoughts using #thingsup in the comments below.
.
.
#thingsup #iobot #iotsensor #iotplatform #tracking #iotsupplychain #wfh #remotework #perksofwfh https://t.co/34X1Ai2PkO",obvious that everyone love working from home comfort perk what your preference share your thought using comment below,India,1,IN
5,1419500221332168704,2021-07-26 03:30:00+00:00,"With the voice-enabled #MiHCM mobile app, you can now check out from work with a smile. 
For more details visit https://t.co/qEzCMSBcMi or download the app from the Google Play Store or Apple App Store. 
#digitaltransformation #checkleave #voicetechnology #wfh #remotework https://t.co/gLkDh6vZo8",with voice enabled mobile check from work with smile more detail visit download from google play store apple store,Sri Lanka,0,LK
6,1419500174297153537,2021-07-26 03:29:49+00:00,"RT @mufazi_dr: 5 useful website for remote tech jobs that isn’t programming. 

https://t.co/vV9c1yHNuF

https://t.co/VnZRKwANg3

https://t.…",useful website remote tech job that programming,"Grand Blanc, MI",1,US
7,1419499245598543878,2021-07-26 03:26:07+00:00,"7 inconvenient truths about the hybrid work trend
#digital #nomads #pandemic #latest #hybrid #remotework
via https://t.co/6X1ikHDBJB
☛ https://t.co/RF1FtpwBs5 https://t.co/7XwittPoEV",inconvenient truth about hybrid work trend,"Chicago, IL",0,US
8,1419498231461945345,2021-07-26 03:22:06+00:00,"RT @stratorob: Innovation is the ability to see change as an opportunity - not a threat.

#Business #ThinkBigSundayWithMarsha #Insurtech #F…",innovation ability change opportunity threat,USA|EUROPE|ASIA|GLOBAL✈️,1,US
9,1419498213279768577,2021-07-26 03:22:01+00:00,"👋 Benzinga is hiring remotely for a Copy Editor- OVERNIGHT Desk.
    
    #RemoteJob #RemoteWork  #Writing 
    Apply now! 👇
    https://t.co/RR6UgAb7wX",benzinga hiring remotely copy editor overnight desk apply,Worldwide,0,None
10,1419498188579368961,2021-07-26 03:21:55+00:00,"RT @stratorob: Limiting our work and focusing is the only way we’re gonna get to the point of doing high-quality work.

#RemoteWork #Sunday…",limiting work focusing only gonna point doing high quality work,USA|EUROPE|ASIA|GLOBAL✈️,0,US
11,1419498145545953283,2021-07-26 03:21:45+00:00,RT @jamesvgingerich: The Biggest Work From Home Mistakes: Harvard Business School Remote Expert. (NBC New York) #RemoteWork #FutureOfWork h…,biggest work from home mistake harvard business school remote expert york,Ottawa Canada,0,US
12,1419497775281094656,2021-07-26 03:20:17+00:00,"RT @dnaRtests: Great speaker! Highly recommend!
$19.57
#100daysOfCode #IndieGame #linux #DCComics #JavaScript #ReleaseTheSnyderCut #DCUnive…",great speaker highly recommend daysofcode,World,1,None
13,1419497719266091011,2021-07-26 03:20:03+00:00,"RT @dnaRtests: Great speaker! Highly recommend!
$19.57
#100daysOfCode #IndieGame #linux #DCComics #JavaScript #ReleaseTheSnyderCut #DCUnive…",great speaker highly recommend daysofcode,twitter,1,None
14,1419497707429896199,2021-07-26 03:20:01+00:00,"Great speaker! Highly recommend!
$19.57
#100daysOfCode #IndieGame #linux #DCComics #JavaScript #ReleaseTheSnyderCut #DCUniverse #SwiftLang #remotework #ReactNative #Kotlin #FrontEndLove #NodeJs #Linux #twitch #twitchstreamer #twitchtv #Arrowverse #gamers
https://t.co/nIQfVtYZbo",great speaker highly recommend daysofcode,🇺🇸 M.4.G.4.🇺🇸  IFB4P 🦅 🏈,1,None
15,1419497481050677251,2021-07-26 03:19:07+00:00,"RT @stratorob: Innovation is the ability to see change as an opportunity - not a threat.

#Business #ThinkBigSundayWithMarsha #Insurtech #F…",innovation ability change opportunity threat,"Berlin, Germany",1,DE
16,1419497452059566081,2021-07-26 03:19:00+00:00,The Biggest Work From Home Mistakes: Harvard Business School Remote Expert. (NBC New York) #RemoteWork #FutureOfWork https://t.co/XWQRXDDqYR https://t.co/0f3lM3R0nx,biggest work from home mistake harvard business school remote expert york,"Waterloo, Ontario Canada",0,US
17,1419497127412109320,2021-07-26 03:17:42+00:00,"Innovation is the ability to see change as an opportunity - not a threat.

#Business #ThinkBigSundayWithMarsha #Insurtech #Fintech #Insurance #MondayMorning #Success #Innovation #RemoteWork #Careers #Family #Lifestyle #Strategy #MondayMotivation #HR #Digital https://t.co/mZJYHqyY27",innovation ability change opportunity threat,Hamburg,1,IN
18,1419496690583842817,2021-07-26 03:15:58+00:00,RT @LuigiIacobellis: Want to learn how to email a channel in #MicrosoftTeams ? Check out this tutorial!   https://t.co/B9hZRnxhqg #Microsof…,want learn email channel check this tutorial,Sarrbrüken,0,None
19,1419496474078031872,2021-07-26 03:15:07+00:00,"RT @stratorob: Limiting our work and focusing is the only way we’re gonna get to the point of doing high-quality work.

#RemoteWork #Sunday…",limiting work focusing only gonna point doing high quality work,"Berlin, Germany",0,DE
20,1419496126093406215,2021-07-26 03:13:44+00:00,"Limiting our work and focusing is the only way we’re gonna get to the point of doing high-quality work.

#RemoteWork #SundayMotivation #Entrepreneurship #ThinkBigSundayWithMarsha #Insurtech #Fintech #Quotes #Business #B2B #B2C #Success #Marketing #PositiveVibes #Careers #HR #SMM https://t.co/k2uOW1pcVn",limiting work focusing only gonna point doing high quality work,Hamburg,0,IN
21,1419495672667987974,2021-07-26 03:11:55+00:00,"RT @stratorob: Identify your problems, but give your power and energy to solutions.

#Business #StartUp #Entrepreneurship #ThinkBigSundayWi…",identify your problem give your power energy solution,USA|EUROPE|ASIA|GLOBAL✈️,1,US
22,1419495200376905728,2021-07-26 03:10:03+00:00,"Deia is set high in the Tramuntana hills overlooking the glittering ocean. Known for its thriving arts and music community, 
Is anyone there who have visited to this village and  can share his/her experience with us?
Lets explore. Lets #GoGoPlaces 
#digitalnomads #remotework https://t.co/MOaUBQSA9S",deia high tramuntana hill overlooking glittering ocean known thriving art music community anyone there have visited this village share experience with let explore let,"Berlin, Germany",1,DE
23,1419494609886003206,2021-07-26 03:07:42+00:00,"Identify your problems, but give your power and energy to solutions.

#Business #StartUp #Entrepreneurship #ThinkBigSundayWithMarsha #Insurtech #Fintech #MondayMorning #Success #Innovation #RemoteWork #Careers #Disruption #Marketing #Lifestyle #Strategy #DataScience #BigData https://t.co/3LSFqKunUs",identify your problem give your power energy solution,Hamburg,1,IN
24,1419493476568342530,2021-07-26 03:03:12+00:00,"RT @CruiseHabit: We sometimes work remotely from #cruise ships.  There are considerations though.  https://t.co/tbKwFjtdO0
#digitalnomad #r…",sometimes work remotely from ship there consideration though,"Fort Lauderdale, FL",0,US
25,1419493157528428544,2021-07-26 03:01:56+00:00,"RT @stratorob: Success is the sum of small efforts repeated day in and day out.

#Business #ThinkBigSundayWithMarsha #Insurtech #Fintech #I…",success small effort repeated,USA|EUROPE|ASIA|GLOBAL✈️,1,US
26,1419492747761815552,2021-07-26 03:00:18+00:00,"When your morning standup ends before the scheduled time.

#zoneitsolutions #WFH #remotework #morningstandup https://t.co/LxTjff05dM",when your morning standup end before scheduled time,Melbourne,0,US
27,1419492685690327045,2021-07-26 03:00:03+00:00,Want to learn how to email a channel in #MicrosoftTeams ? Check out this tutorial!   https://t.co/B9hZRnxhqg #Microsoft #Microsoft365 #Office365 #MSFT #MSTeams #Remotework #MicrosoftEDU #YouTube #Howto #Tutorials #SharePoint #SharePointOnline #email,want learn email channel check this tutorial,"Toronto, Ontario, Canada",0,US
28,1419492233145995267,2021-07-26 02:58:15+00:00,"Online ESL Teacher for Antoree
from ANTOREE INTERNATIONAL PTE. LTD
#Teaching #remotework
https://t.co/mDqjvqaZDl",online teacher antoree from antoree international,United Kingdom UK GB,1,GB
29,1419492125859729412,2021-07-26 02:57:50+00:00,"RT @quaversal: Did your latest project get funded, or are you just trying to keep things going?
Schedule your #strategy call, and #BeBetter…",your latest project funded just trying keep thing going schedule your call,Internet,0,None
30,1419491392481542151,2021-07-26 02:54:55+00:00,"RT @stratorob: Success is the sum of small efforts repeated day in and day out.

#Business #ThinkBigSundayWithMarsha #Insurtech #Fintech #I…",success small effort repeated,New Jersey,1,US
31,1419490934736232448,2021-07-26 02:53:06+00:00,"RT @stratorob: Success is the sum of small efforts repeated day in and day out.

#Business #ThinkBigSundayWithMarsha #Insurtech #Fintech #I…",success small effort repeated,"Berlin, Germany",1,DE
32,1419490834731372546,2021-07-26 02:52:42+00:00,"Success is the sum of small efforts repeated day in and day out.

#Business #ThinkBigSundayWithMarsha #Insurtech #Fintech #Insurance #SundayMorning #Success #Innovation #RemoteWork #Careers #Family #Lifestyle #Strategy #HR #Banking #MondayMorning #MondayMotivation https://t.co/R9SdJE7YPX",success small effort repeated,Hamburg,1,IN
33,1419487192024506372,2021-07-26 02:38:14+00:00,"Here Are The Best Games You Can Play On Zoom and How to Play Them
#game #party #friends #apps #zoom #remotework
via https://t.co/h879XdvPCg
☛ https://t.co/iNylBG9Hhc https://t.co/lCd4qLe4fU",here best game play zoom play them,"Chicago, IL",1,US
34,1419483230877614080,2021-07-26 02:22:29+00:00,"Trying to move the debate about remote work away from personal preference and ableism and into looking at the real, quantifiable benefits.   #wfh #remotework  https://t.co/0x94mtRdQG",trying move debate about remote work away from personal preference ableism into looking real quantifiable benefit,"Portland, OR",1,US
35,1419483120894717958,2021-07-26 02:22:03+00:00,"👋 Cameo is hiring remotely for a Senior IT and Finance Manager.
    
    #RemoteJob #RemoteWork  #Finance 
    Apply now! 👇
    https://t.co/W2UZxXcgrs",cameo hiring remotely senior finance manager apply,Worldwide,0,None
36,1419482446425436161,2021-07-26 02:19:22+00:00,"👍 Featured opportunity:

💼 Crypto Content Writer at
🏛️ EVERSE  @Eversecapital 
🌍 Remote

Apply now,
    or share with your friends! 👇

#CryptoJobs #TechJobs #HiringNow #RemoteJobs #RemoteWork
https://t.co/Rk7giS09P5",featured opportunity crypto content writer everse remote apply share with your friend,Turn 🔔 Notifications ON ,1,None
37,1419482352636633094,2021-07-26 02:19:00+00:00,Shifting focus: Why decentralized workspaces are emerging as the #NewNormal. (People Matters) #RemoteWork https://t.co/kXuTXkA7hx https://t.co/L2eU8IBm5l,shifting focus decentralized workspace emerging people matter,"Waterloo, Ontario Canada",1,US
38,1419481632814387207,2021-07-26 02:16:08+00:00,"Top 10 Remote Jobs For New Grads And Those With Minimal Work Experience - Forbes
#working #skills #transferable #says #search #remotework
via https://t.co/YRaqa28ATf
☛ https://t.co/a77Fzp04XR https://t.co/0AQWO7nCLQ",remote job grad those with minimal work experience forbes,"Chicago, IL",0,US
39,1419480684255666180,2021-07-26 02:12:22+00:00,"As many of found since #COVID changed everything, #RemoteWork has it's challenges and it can exacerbate existing issues on teams. That's where our Team Diagnostic Assessment™ comes in. Learn more and improve #TeamPerformance today at https://t.co/LuaXZcajda https://t.co/3gnKcPl78f",many found since changed everything challenge exacerbate existing issue team that where team diagnostic assessment come learn more improve today,Worldwide,0,None
40,1419480217438068739,2021-07-26 02:10:31+00:00,"RT @stratorob: Innovation is the ability to see change as an opportunity - not a threat.

#Business #ThinkBigSundayWithMarsha #Insurtech #F…",innovation ability change opportunity threat,Global,1,None
41,1419480155383287809,2021-07-26 02:10:16+00:00,"Call Center Remote/Field Technician
from H&amp;R Block
#Chat #remotework
https://t.co/UpR31YxVjN",call center remote field technician from block,Canada CA,0,CA
42,1419477829897494529,2021-07-26 02:01:01+00:00,"The #FutureOfWork looks hybrid. Gain insights into the risks and #benefits of hybrid working models and how #leadership can encourage collaboration, regardless of where employees work in @FinancialTimes, via @psb_dc. #RemoteWork https://t.co/P3LWWPTE0m https://t.co/1yvo3ohD5I",look hybrid gain insight into risk hybrid working model encourage collaboration regardless where employee work,Manila,1,None
43,1419477068799168519,2021-07-26 01:58:00+00:00,"Soak up some Summer Fun in the Spanish queue! 😎 ☀️ 

Tap on the link to log in: https://t.co/GwkDrqi9fT

#CrowdSurf #workfromhome #Spanish #remotework",soak some summer spanish queue link,USA,0,US
