,tweet_id,tweet_posted_on,tweets,cleaned_tweets,user_location,polarity
0,1416181616846811137,2021-07-16 23:43:03+00:00,"🏡 #RemoteWork is on the rise &amp; slowly becoming the new normal, which means the need for remote training is also growing. Here are the benefits, challenges, &amp; best practices when it comes to successfully training remote employees: https://t.co/cuTkRPebrf
#HumanResources https://t.co/yFjbSiyRPB",rise slowly becoming normal which mean need remote training also growing here benefit challenge best practice when come successfully training remote employee,"New York, NY",1
1,1416181380279635970,2021-07-16 23:42:07+00:00,"Opportunity to join a fantastic team at a hi-tech fast-paced company which is transforming an entire indus...

Check out this Remote Principal Engineer role working with Golang, Python &amp; Ruby

#remotework #remotejobs #golang #python #ruby

https://t.co/6VHUX9ZhZp",opportunity join fantastic team tech fast paced company which transforming entire indus check this remote principal engineer role working with golang python ruby,London | New York,1
2,1416181225979473920,2021-07-16 23:41:30+00:00,"Good news for #JobSeekers open to #RemoteWork!  In this excellent report from @janinevtw, remote Job adverts are soaring in the UK. This provides encouragement for job seekers in Australia too, as the share of remote jobs by indust…https://t.co/u2ewEqueRw https://t.co/Rzq40kckFg",good news open this excellent report from remote advert soaring this provides encouragement seeker australia share remote job indust,Sydney | Hong Kong | Singapore,1
3,1416180635903868934,2021-07-16 23:39:09+00:00,"Four Ways to Energize a Post-Pandemic Workforce
#needs #work #data #risk #industry #remotework
via https://t.co/FDYeIsBIXe
☛ https://t.co/lEtWS5O4Va https://t.co/uAEKMgTISi",four way energize post pandemic workforce,"Chicago, IL",1
4,1416180231350759425,2021-07-16 23:37:33+00:00,"🚑 These are the tools that will save your #RemoteWork day. 
Google Meet and #Bee (our own #PM tool created with a lot of love 💖). 

Do you want to know more? 👉 https://t.co/9D6wZskn1s https://t.co/nL2NwoOgzx",these tool that will save your google meet tool created with love want know more,"Duluth, GA",0
5,1416180065948209154,2021-07-16 23:36:53+00:00,Love my home office. #remotework #Veterinary https://t.co/KMsK2Nu3zE,love home office,"Arizona, USA",1
6,1416178575762460683,2021-07-16 23:30:58+00:00,"RT @BotRemote: capital group is hiring in Los Angeles for a Business Solution Design Senior Analyst-. Click now to apply! 
https://t.co/UEa…",capital group hiring angeles business solution design senior analyst click apply,Everywhere,0
7,1416178372296675331,2021-07-16 23:30:09+00:00,"Would you consider outsourcing a project to someone you've never met in person?

https://t.co/X08uc5VcuW

#remotework #strategy https://t.co/uuDDz8HJmU",would consider outsourcing project someone never person,Global,0
8,1416178346489270273,2021-07-16 23:30:03+00:00,"#RemoteWork is a trend that shows no sign of slowing down.

Check out these 10 best practices to control #WFH costs from SAP Concur ⬇️

https://t.co/Uh74DASG2r https://t.co/H5x6HG84wz",trend that show sign slowing down check these best practice control cost from concur,United States,0
9,1416176967259500545,2021-07-16 23:24:34+00:00,"The latest update for #Axosoft includes ""#GitKraken v7.7: #Git for Teams"" and ""#RemoteWork and Mental Health"".
 
#Collaboration #Agile https://t.co/bqXtMynYJX",latest update includes team mental health,"London, England",1
10,1416176849114308609,2021-07-16 23:24:06+00:00,RT @AdobePartner: How Remote Work Will Transform the Innovation Landscape and Establish a New Kind of Entrepreneur. https://t.co/lZyKFBmhA2…,remote work will transform innovation landscape establish kind entrepreneur,The Matrix,1
11,1416176661205192708,2021-07-16 23:23:21+00:00,RT @AdobePartner: How Remote Work Will Transform the Innovation Landscape and Establish a New Kind of Entrepreneur. https://t.co/lZyKFBmhA2…,remote work will transform innovation landscape establish kind entrepreneur,Global,1
12,1416176324113219588,2021-07-16 23:22:01+00:00,"👋 Nira is hiring remotely for a Integrations Engineer 🧰 Python | API | Data Analysis | OAuth | 100% Remote.
    
    #RemoteJob #RemoteWork  #BackendDeveloper 
    Apply now! 👇
    https://t.co/kpz1uqKBNt🧰-python-api-data-analysis-o-auth-100-remote-760902",nira hiring remotely integration engineer python data analysis oauth remote apply,Worldwide,0
13,1416176309726760964,2021-07-16 23:21:58+00:00,RT @AdobePartner: How Remote Work Will Transform the Innovation Landscape and Establish a New Kind of Entrepreneur. https://t.co/lZyKFBmhA2…,remote work will transform innovation landscape establish kind entrepreneur,"Salt Lake City, UT",1
14,1416175831018262534,2021-07-16 23:20:04+00:00,"Employers, as #remotework continues, what new tools are you adopting to boost #productivity + engagement?

Check these: ""5 Remote Work Productivity Tools You Didn’t Know About (But Should)"" by contributor Lucas Campbell ➡️  https://t.co/4duuAuqoil via @TalentCulture

#worktrends https://t.co/iiiA9LT37h",employer continues what tool adopting boost engagement check these remote work productivity tool didn know about should contributor lucas campbell,"Portland, OR",0
15,1416175590286274561,2021-07-16 23:19:06+00:00,"RT @mitsloanexperts: @MITSloan senior lecturer and productivity expert @pozen shares some #remotework tips from his bestselling book, “Remo…",senior lecturer productivity expert share some tip from bestselling book remo,"Cambridge, Massachusetts, U.S.",1
16,1416174571624017927,2021-07-16 23:15:03+00:00,"New #remote #job Engineering Management at @wikipedia
https://t.co/Wqyl0dNfD3
#remotework #vacancy #remotejob #hiring",engineering management,Worldwide,1
17,1416174320049610752,2021-07-16 23:14:03+00:00,"5 Reasons to Become a Digital Nomad
#remotework
via https://t.co/sMcPAYCYKK
☛ https://t.co/hzjOeukMRG https://t.co/30Mh2SaMlF",reason become digital nomad,"Chicago, IL",0
18,1416174003123900421,2021-07-16 23:12:48+00:00,"Clinical Trial Coordinator
from ExecuPharm
#HomeBased #remotework
https://t.co/xs7hCv6rUm",clinical trial coordinator from execupharm,Canada CA,0
19,1416173315073495050,2021-07-16 23:10:04+00:00,CaterCow is looking for Customer Service Reps. Offers health benefits and 401K. Equipment provided. For more details about this job go here &gt; https://t.co/d8l4sK5aTC #WorkFromHome #remotework https://t.co/OQmBu5yUgN,catercow looking customer service rep offer health benefit equipment provided more detail about this here,"La Porte, Texas",0
20,1416173291899863047,2021-07-16 23:09:58+00:00,New Job - Maharishi Foundation International: Product Designer https://t.co/XnTBnMPGpB #remotejobs #remotework #workathome,maharishi foundation international product designer,Planet Earth,1
21,1416173278364852231,2021-07-16 23:09:55+00:00,"New Job - Modo Labs, Inc.: Senior Product Designer https://t.co/DNFOiARcyx #remotejobs #remotework #workathome",modo lab senior product designer,Planet Earth,1
22,1416172472899186688,2021-07-16 23:06:43+00:00,"RT @MarshaCollier: Use this Goldman Sachs data to convince your boss you should work from home and travel less for meetings

👉🏻 They found…",this goldman sachs data convince your bos should work from home travel le meeting they found,"Sydney, New South Wales",0
23,1416172372772728840,2021-07-16 23:06:19+00:00,RT @EvanKirstel: Apple employees threaten to quit as company takes hard line stance on #remotework https://t.co/SeXHdBbAWs,apple employee threaten quit company take hard line stance,"Oxford, UK",0
24,1416171154365091857,2021-07-16 23:01:29+00:00,"The last 18 months have forever changed the way we work. Some have thrived, many have closed, and remote work is finally becoming commonplace.
⁠
What changes are happening at your workplace, and how will it impact your organization?

#worklifebalance #remotework #futureofwork https://t.co/ihPcBSwwKs",last month have forever changed work some have thrived many have closed remote work finally becoming commonplace what change happening your workplace will impact your organization,Seattle,1
25,1416171061528469504,2021-07-16 23:01:06+00:00,RT @PM_Results: Thinking of investing in Employee Engagement software? Read our review of the top tools for remote work.  https://t.co/XGOR…,thinking investing employee engagement software read review tool remote work,"Berlin, Germany",1
26,1416170880993005574,2021-07-16 23:00:23+00:00,Thinking of investing in Employee Engagement software? Read our review of the top tools for remote work.  https://t.co/XGORnbomA7 #remotework #hr #workplaceculture #business #employeerecognition #employeeretention #management #employeeengagement #workplace #futureofwork https://t.co/knG9mAVTXF,thinking investing employee engagement software read review tool remote work,Surrey UK,1
27,1416170809320775684,2021-07-16 23:00:06+00:00,"How to Prevent Your Home Router From Being Targeted by Hackers
#remotework
via https://t.co/AlnmEcN4jy
☛ https://t.co/dKBWbdM0eM https://t.co/6ZWedhRkGx",prevent your home router from being targeted hacker,"Chicago, IL",0
28,1416170561810616320,2021-07-16 22:59:07+00:00,"RT @HiringCare: RT: Jobicy: Hiring Care (@HiringCare)
RT: Renee Chanelle (@ReneeChane11e)

Is Remote work still being used as leverage or c…",jobicy hiring care renee chanelle remote work still being used leverage,"Berlin, Germany",0
29,1416170176110813187,2021-07-16 22:57:35+00:00,"RT: Jobicy: Hiring Care (@HiringCare)
RT: Renee Chanelle (@ReneeChane11e)

Is Remote work still being used as leverage or called a ""perk"" in your workplace?

You may want to read the below #viralposts

#remotework #recruitment #mentalhealth #selfawareness #hr #careers #jobsearchs",jobicy hiring care renee chanelle remote work still being used leverage called perk your workplace want read below,Everywhere,0
30,1416169313086558208,2021-07-16 22:54:10+00:00,"RT @Opsgility: In this Expert Talk, @AzureSMFX covered Azure’s new desktop and app #virtualization offering! He explained how it can improv…",this expert talk covered azure desktop offering explained improv,"Las Vegas, NV",1
31,1416169208875003906,2021-07-16 22:53:45+00:00,"RT @ReneeChane11e: Is Remote work still being used as leverage or called a ""perk"" in your workplace?

You may want to read the below #viral…",remote work still being used leverage called perk your workplace want read below,"Chicago, IL",0
32,1416169170123776000,2021-07-16 22:53:35+00:00,"RT @NextRecNow: Job alert! 100% Remote Audit Senior to join a Global Top-10 Public Accounting firm in Metro Detroit. Message, Call, or Emai…",alert remote audit senior join global public accounting firm metro detroit message call emai,"Chicago, IL",0
33,1416169049009139714,2021-07-16 22:53:07+00:00,"RT @HiringCare: RT: Renee Chanelle (@ReneeChane11e)
Is Remote work still being used as leverage or called a ""perk"" in your workplace?

You…",renee chanelle remote work still being used leverage called perk your workplace,"Berlin, Germany",0
34,1416168753302327297,2021-07-16 22:51:56+00:00,"RT @SheWorksCloud: We are kicking off the second half of the year with a brand new look 🤩

Check out our new website and tell us what you t…",kicking second half year with brand look check website tell what,"Asuncion, Paraguay",1
35,1416168714567831554,2021-07-16 22:51:47+00:00,"RT: Renee Chanelle (@ReneeChane11e)
Is Remote work still being used as leverage or called a ""perk"" in your workplace?

You may want to read the below #viralposts

#remotework #recruitment #mentalhealth #selfawareness #hr #careers #jobsearchstrategy #humanresources

#hiring #newwo",renee chanelle remote work still being used leverage called perk your workplace want read below,Everywhere,0
36,1416168270697222146,2021-07-16 22:50:01+00:00,"RT @AXELGlobal: Performing a lot of tasks online is almos ideal, but this new reality comes with certain risks. One of the main concerns is…",performing task online almos ideal this reality come with certain risk main concern,"England, United Kingdom",0
37,1416168266628730880,2021-07-16 22:50:00+00:00,"RT @Opsgility: In this Expert Talk, @AzureSMFX covered Azure’s new desktop and app #virtualization offering! He explained how it can improv…",this expert talk covered azure desktop offering explained improv,"Corinth, TX",1
38,1416168040367104004,2021-07-16 22:49:06+00:00,"RT @ReneeChane11e: Is Remote work still being used as leverage or called a ""perk"" in your workplace?

You may want to read the below #viral…",remote work still being used leverage called perk your workplace want read below,"Berlin, Germany",0
39,1416167773617725440,2021-07-16 22:48:03+00:00,👨‍💻👩‍💻 Remote Job alert! - Work remotely as Senior Software Engineer - Ruby on Rails at SureSwift Capital (Anywhere)  #remotejob #SoftwareDevelopment #remotework  https://t.co/KyREiYtaeU,remote alert work remotely senior software engineer ruby rail sureswift capital anywhere,Global,0
40,1416167772875366404,2021-07-16 22:48:02+00:00,👀👋 Is this you? @toptalllc is hiring for a Data Engineer (Worldwide)  #remotejob #SoftwareDevelopment #remotework  https://t.co/yxz23iq2a1,this hiring data engineer worldwide,Global,1
41,1416167772199981059,2021-07-16 22:48:02+00:00,👀👋 Is this you? @toptalllc is hiring for a iOS Developer (Worldwide)  #remotejob #SoftwareDevelopment #remotework  https://t.co/8saKzy7jt9,this hiring developer worldwide,Global,1
42,1416167771633852419,2021-07-16 22:48:02+00:00,👀👋 Is this you? @toptalllc is hiring for a Go Developer (Worldwide)  #remotejob #SoftwareDevelopment #remotework  https://t.co/vKkwSdbk2d,this hiring developer worldwide,Global,1
43,1416167770631327747,2021-07-16 22:48:02+00:00,👀👋 Is this you? @toptalllc is hiring for a Senior UI Designer (Worldwide)  #remotejob #Design #remotework  https://t.co/BCgXhGsPNb,this hiring senior designer worldwide,Global,1
44,1416167769930883073,2021-07-16 22:48:02+00:00,👀👋 Is this you? @toptalllc is hiring for a React Native Developer (Worldwide)  #remotejob #SoftwareDevelopment #remotework  https://t.co/qydosL5RS1,this hiring react native developer worldwide,Global,1
45,1416167740017188866,2021-07-16 22:47:55+00:00,"Is Remote work still being used as leverage or called a ""perk"" in your workplace?

You may want to read the below #viralposts 

#remotework #recruitment #mentalhealth  #selfawareness #hr #careers #jobsearchstrategy #humanresources 
#hiring #newworkingworl…https://t.co/XhM3gkzAUl",remote work still being used leverage called perk your workplace want read below,"Brisbane, Queensland",0
