,tweets,user_location,tweet_posted_on,tweet_id
0,RT @Humana_Careers: Your health and well-being are our priority. We’re proud to offer our employees benefits that support their best health…,Everywhere,Mon Jul 19 18:12:00 +0000 2021,1417185469247500288
1,Your health and well-being are our priority. We’re proud to offer our employees benefits that support their best health.  #becominghumana #remotework #benefits #wellness #hiring https://t.co/B4w5fDDcwr,"Louisville, KY ",Mon Jul 19 18:11:55 +0000 2021,1417185446812082189
2,"Introduce strong programming standards; mentor young developers; lift the company.

Remote Software Engineering Manager (Clojure Team), $126K - 200K + Equity

#remotework #remotejobs #clojure #clojurescript

https://t.co/YrTHpSj2DR",London | New York,Mon Jul 19 18:11:26 +0000 2021,1417185327039537155
3,"Remote Software Engineering Manager (Clojure Team)

$126K - 200K + Equity

tl;dr Manager, or senior-level developer moving to managementDirect software engineering for a growing ed-tech firmFunctional pr...

#remotework #remotejobs #clojure #clojurescript

https://t.co/F93IamrlHj",London | New York,Mon Jul 19 18:08:48 +0000 2021,1417184664742207493
4,"“What sets Otter apart is the quick and easy transcription and integrations with other recording apps…”

To read more about how #journalists use @Otter_ai:
https://t.co/9aJ2z2DFCo 
#transcription #interviews #remotework #futureofwork https://t.co/IZW5bOx0hM","Mountain View, California",Mon Jul 19 18:08:05 +0000 2021,1417184484512907273
5,"Employees are returning to the office, but certainly not in pre-pandemic rates as organizations have been more open to adjust for the needs of their employees https://t.co/jO5cnW9gwb #remotework #employeeexperience https://t.co/OnM7ZYr9DF","Cambridge, MA",Mon Jul 19 18:07:09 +0000 2021,1417184247836721154
6,"Are you having any issues securing your company's #RemoteWork in any of these functional areas? Contact @Expeflow today if you would like better, smarter #Workflow solutions in days or a few weeks rather than months or years!  https://t.co/7qsOHf4iTq https://t.co/yf3SKR1m4B","Waterloo, Ontario Canada",Mon Jul 19 18:07:00 +0000 2021,1417184209651658753
7,"In this recent piece with @ComplishApp I dive into some of the critical mindset shifts required of #remoteleaders, the skills needed to lead a #business with cross border #remoteemployees, and much more! https://t.co/dke0WXOCw2

#remotework #futureofwork #remotemanagement",Global,Mon Jul 19 18:06:10 +0000 2021,1417184003078201349
8,"Help address climate change | build the back-end of renewable energy data management platform

Check out this Remote Full-Stack Developer role working with Backend, Functional javascript &amp; Javascript

#remotework #remotejobs #backend

https://t.co/hFXb5nqaFA",London | New York,Mon Jul 19 18:05:05 +0000 2021,1417183728447721476
9,RT @AkwyZ: Tech Talent Wars. #RemoteWork Is the Hottest Office Perk.The same millennials who thrilled at free beer are higher-ups in their…,Ireland,Mon Jul 19 18:04:44 +0000 2021,1417183639893385217
10,RT @AkwyZ: Tech Talent Wars. #RemoteWork Is the Hottest Office Perk.The same millennials who thrilled at free beer are higher-ups in their…,"Portland, OR",Mon Jul 19 18:04:40 +0000 2021,1417183622692544518
11,"Remote Cloud Engineer (Pulumi) with competitive compensation

Check out this role working with Aws, Azure &amp; Kubernetes

#remotework #remotejobs #aws #azure #kubernetes

https://t.co/oCbha6bFzl",London | New York,Mon Jul 19 18:04:09 +0000 2021,1417183494355161088
12,"Check out Moixa

They're looking for a Remote Senior Data Scientist (GMT +/-2) and offering £60K - 75K + Equity

#remotework #remotejobs #bigdata #deeplearning

https://t.co/uX4FnSdw7q",Remote,Mon Jul 19 18:04:09 +0000 2021,1417183491863760900
13,"RT @SonatafyM: Come join the #Sonatafy family and do great things. We offer engaging opportunities and the environment to succeed.

Check t…",Everywhere,Mon Jul 19 18:03:46 +0000 2021,1417183397940801536
14,"RT @compa_as: Important thoughts from @shiraovide on the need to forge a more democratic path for remote work - ""The ability to work online…","Berlin, Germany",Mon Jul 19 18:03:08 +0000 2021,1417183235612753926
15,"Important thoughts from @shiraovide on the need to forge a more democratic path for remote work - ""The ability to work online shouldn’t be a nice-to-have for a select few, but an option for all."" - @nytimes #HR #HRleadership #WFH #remotework #FutureOfWork https://t.co/kKE01jCML5","California, USA",Mon Jul 19 18:02:20 +0000 2021,1417183036454617094
16,"How has remote work impacted your cybersecurity? For 66% of companies it's led to an increase in phishing threats. 😱

Learn about the state of remote work in this @Cybersecinsider report: https://t.co/iUBrIpJuD1

#remotework #hybridwork #cybersecurity #MFA #ITsecurity https://t.co/mqQyLD4Dhw","San Jose, California",Mon Jul 19 18:02:11 +0000 2021,1417182997669896193
17,"The workplace is changing. Many managers are tasked with leading multiple generations with different sets of preferences and expectations. Personalize your approach...understand what YOUR employees really want. It all starts with a question. 

#employeeexperience #remotework https://t.co/jamz3YdLWA","Sacramento, CA",Mon Jul 19 18:02:07 +0000 2021,1417182981656129538
18,"Whether your business will be utilizing an in-person, hybrid, or #remotework model, putting infrastructure in place and undoing the patchwork systems from 2020 is straining #IT teams. @CIODive shares tips on facing this challenge in the article below.
https://t.co/0uPkPRyOqP","Salem, NH",Mon Jul 19 18:02:05 +0000 2021,1417182972613124104
19,Looking to make a new remote hire? Here’s what to look for: https://t.co/EI2trXnGjh #remotework #hiring,"Indianapolis, Indiana",Mon Jul 19 18:02:00 +0000 2021,1417182951553617926
20,"Help your team transform its virtual interactions. Download the Free 'Loving Remote' Book Now:  https://t.co/y7Jje6CwU2  

#smallbusiness #remotework #culture #comms #virtualteam #protips",Worldwide,Mon Jul 19 18:01:44 +0000 2021,1417182887326228485
21,"A carefully honed strategy is crucial to creating a remote work policy that functions well for both employers and workers, but it can take time to develop.
Discover how we can help 👉 https://t.co/MSuYCcPf9L.
-
#RemoteWork #Strategy #Recruiting https://t.co/wXpYlXGpUF",Atlanta & Tampa,Mon Jul 19 18:01:24 +0000 2021,1417182802144120844
22,"Data Scientist needed for this distributed smart energy technology start-up -

Remote Senior Data Scientist (GMT +/-2), £60K - 75K + Equity

#remotework #remotejobs #bigdata #deeplearning

https://t.co/OuSTjxeAV0",London | New York,Mon Jul 19 18:01:19 +0000 2021,1417182781298380805
23,7 Tips to Achieve eCommerce Moments of Truth with UX Design @Shift4Shop #UX #remotework #ecommerce https://t.co/RLFFp7API1 https://t.co/pTOdQ90Szs,Nevada,Mon Jul 19 18:01:11 +0000 2021,1417182748834476040
24,"Hybrid work is happening as companies recognize the value of our new normal. https://t.co/XYWyBced2p

#dhmovement #deliveringhappiness #happiness #culture #hybridwork #remotework #workplace #apple #microsoft #collaboration #homeoffice #newnormal #change https://t.co/PenBGymajF","San Francisco, CA",Mon Jul 19 18:01:04 +0000 2021,1417182719407177734
25,"IoT Devices Pose Security Risks for Remote Employees | Aligned Technology Solutions https://t.co/i54tYpgvLE

#myalignedit #cybersecurity #remotework","Alexandria, VA",Mon Jul 19 18:01:04 +0000 2021,1417182718413135875
26,"Systems Integration Engineer / Remote working / £50,000
from Avanti Recruitment Ltd
#SystemsEngineer #remotework
https://t.co/K2MbOKKTvZ",United Kingdom UK GB,Mon Jul 19 18:00:48 +0000 2021,1417182648393510913
27,RT @HathorNetwork: #Hiring - We are looking for a Head of #Design to join Hathor Network and Labs to guide the #creative department in-hous…,France,Mon Jul 19 18:00:45 +0000 2021,1417182635839926278
