,tweets,user_location,tweet_posted_on,tweet_id
0,"RT @dnaRtests: Great speaker! Highly recommend!
$19.57
#100daysOfCode #IndieGame #linux #DCComics #JavaScript #ReleaseTheSnyderCut #DCUnive…",Jammu And Kashmir,Mon Jul 26 03:43:00 +0000 2021,1419503491010244610
1,"RT @dnaRtests: Great speaker! Highly recommend!
$19.57
#100daysOfCode #IndieGame #linux #DCComics #JavaScript #ReleaseTheSnyderCut #DCUnive…",Prague,Mon Jul 26 03:42:58 +0000 2021,1419503485876326402
2,"RT @dnaRtests: Great speaker! Highly recommend!
$19.57
#100daysOfCode #IndieGame #linux #DCComics #JavaScript #ReleaseTheSnyderCut #DCUnive…",Earth,Mon Jul 26 03:42:57 +0000 2021,1419503482483187713
3,"RT @dnaRtests: Great speaker! Highly recommend!
$19.57
#100daysOfCode #IndieGame #linux #DCComics #JavaScript #ReleaseTheSnyderCut #DCUnive…",Kenya,Mon Jul 26 03:42:50 +0000 2021,1419503451046912006
4,"It is obvious that everyone loves working from home for the comfort and the perks. So, what is your preference and why? Share your thoughts using #thingsup in the comments below.
.
.
#thingsup #iobot #iotsensor #iotplatform #tracking #iotsupplychain #wfh #remotework #perksofwfh https://t.co/34X1Ai2PkO",India,Mon Jul 26 03:30:12 +0000 2021,1419500272926273539
5,"With the voice-enabled #MiHCM mobile app, you can now check out from work with a smile. 
For more details visit https://t.co/qEzCMSBcMi or download the app from the Google Play Store or Apple App Store. 
#digitaltransformation #checkleave #voicetechnology #wfh #remotework https://t.co/gLkDh6vZo8",Sri Lanka,Mon Jul 26 03:30:00 +0000 2021,1419500221332168704
6,"RT @mufazi_dr: 5 useful website for remote tech jobs that isn’t programming. 

https://t.co/vV9c1yHNuF

https://t.co/VnZRKwANg3

https://t.…","Grand Blanc, MI",Mon Jul 26 03:29:49 +0000 2021,1419500174297153537
7,"7 inconvenient truths about the hybrid work trend
#digital #nomads #pandemic #latest #hybrid #remotework
via https://t.co/6X1ikHDBJB
☛ https://t.co/RF1FtpwBs5 https://t.co/7XwittPoEV","Chicago, IL",Mon Jul 26 03:26:07 +0000 2021,1419499245598543878
8,"RT @stratorob: Innovation is the ability to see change as an opportunity - not a threat.

#Business #ThinkBigSundayWithMarsha #Insurtech #F…",USA|EUROPE|ASIA|GLOBAL✈️,Mon Jul 26 03:22:06 +0000 2021,1419498231461945345
9,"👋 Benzinga is hiring remotely for a Copy Editor- OVERNIGHT Desk.
    
    #RemoteJob #RemoteWork  #Writing 
    Apply now! 👇
    https://t.co/RR6UgAb7wX",Worldwide,Mon Jul 26 03:22:01 +0000 2021,1419498213279768577
10,"RT @stratorob: Limiting our work and focusing is the only way we’re gonna get to the point of doing high-quality work.

#RemoteWork #Sunday…",USA|EUROPE|ASIA|GLOBAL✈️,Mon Jul 26 03:21:55 +0000 2021,1419498188579368961
11,RT @jamesvgingerich: The Biggest Work From Home Mistakes: Harvard Business School Remote Expert. (NBC New York) #RemoteWork #FutureOfWork h…,Ottawa Canada,Mon Jul 26 03:21:45 +0000 2021,1419498145545953283
12,"RT @dnaRtests: Great speaker! Highly recommend!
$19.57
#100daysOfCode #IndieGame #linux #DCComics #JavaScript #ReleaseTheSnyderCut #DCUnive…",World,Mon Jul 26 03:20:17 +0000 2021,1419497775281094656
13,"RT @dnaRtests: Great speaker! Highly recommend!
$19.57
#100daysOfCode #IndieGame #linux #DCComics #JavaScript #ReleaseTheSnyderCut #DCUnive…",twitter,Mon Jul 26 03:20:03 +0000 2021,1419497719266091011
