,tweets,user_location,tweet_posted_on,tweet_id
0,"Quickly learn how to construct a really good cta, if you want to receive extra potential clients in your venture https://t.co/XJOQ4YRUzn #WorkFromHome #OnlineSales #QuotesToLiveBy https://t.co/CpOrhVN5wu","London, England",Fri Jul 16 22:34:40 +0000 2021,1416164405633499136
1,"Could YOU Fire Your Boss and Live the Dream? This Ex-Waiter Did, and YES, You Could Too! ~ https://t.co/cyxeoZAoR0 #WorkFromHome #Entrepreneur https://t.co/8w1muoaDSG","Chapala, Jalisco, Mexico",Fri Jul 16 22:28:19 +0000 2021,1416162808379678722
2,Are you exhausting yourself trying to make a sale online and wonder what in the world you’re doing wrong? Learn The 5 Best Ways to Sell Online So People Feel Compelled to Buy! ~ https://t.co/AiOC743GHo  #WorkFromHome #Conversion,"Jalisco, México-retired Iowan",Fri Jul 16 22:21:11 +0000 2021,1416161014496874498
3,RT @T1Vcollaborate: ThinkHub’s advanced #contentsharing with #ThinkHub supports #hybrid #collaboration for blended in-room and #remoteteams…,"Raleigh, NC",Fri Jul 16 22:19:56 +0000 2021,1416160698279895043
4,"RT @Linda_U_W_A: Uniquely Your Designs: Starting your Business, Basics - https://t.co/5lihLHdUtn  Find out the basics #Smallbiz #workfromho…",Kingston upon Hull,Fri Jul 16 22:19:38 +0000 2021,1416160623587643399
5,"RT @Linda_U_W_A: Uniquely Your Designs: Starting your Business, Basics - https://t.co/5lihLHdUtn  Find out the basics #Smallbiz #workfromho…",Germany,Fri Jul 16 22:15:15 +0000 2021,1416159519516803074
6,"🤑 Want to $1,000's at home? Here are the best and highest paying stay at home jobs you can do right now! 👩‍💻💵 #stayathomejobs #workfromhome https://t.co/MPx7GdkHom","New York, NY",Fri Jul 16 22:11:09 +0000 2021,1416158488628236290
7,Check this out FREE GET PAID $900 DAILY https://t.co/EjMQZLbt3U #workathome #workfromhome #homebusiness #internetmarketing #onlinejobs #makemoneyonline,Washington DC,Fri Jul 16 22:10:20 +0000 2021,1416158283489071110
8,The Top 6 Distractions You Face When You Work From Home - Remote Working Mom Life https://t.co/XLmAjaFC4k #WorkFromHome #remotejobs https://t.co/QImUBYZiwr,"La Porte, Texas",Fri Jul 16 22:10:07 +0000 2021,1416158230162681859
9,"Timing is everything. Which days are the best days to work from home? Some tips on how to pick them. 

https://t.co/QwNwQGol6H

#careers #careeradvice #careertips #remotework #workfromhome #hybridwork",Global,Fri Jul 16 22:10:01 +0000 2021,1416158204975779847
10,"RT @bsindia: #BSWebExclusive | Tips on getting the ergonomics and aesthetics right for your WFH station, writes @kohli_namrata 

#WorkFromH…","Mumbai, India",Fri Jul 16 22:04:25 +0000 2021,1416156794460774400
11,"#AskCocoCommunicationsAVirtualStaffingAgency is looking for a #Client #Support Professional, apply now! (#WorkFromHome) #job https://t.co/0143qPnic1 https://t.co/yfmOEL1som",Miami,Fri Jul 16 22:03:17 +0000 2021,1416156509210296331
12,Does your remote workplace have traditions? (via @medium) https://t.co/SdpZlfdAfu  #Traditions #WorkFromHome https://t.co/GtczKlRK0v,"British Columbia, Canada",Fri Jul 16 22:03:04 +0000 2021,1416156454487306242
13,RT @CoolMustHaves: Breaking through the Glass Ceiling - Affiliate Working Online - https://t.co/5YfyYvFj7g The only thing that holds us bac…,All over the UK,Fri Jul 16 22:02:16 +0000 2021,1416156253630382087
14,"Remote work has made us constantly have to be on our computers in one video conference call or another. But, have you found a way to combat your Zoom fatigue? Read ours here! 
https://t.co/AcUM7pxroS
#fatigue #tired #zoom #workfromhome #sleepy #mentalhealth #conferencecall https://t.co/1aP0UAlGz3","San Diego, CA",Fri Jul 16 22:00:04 +0000 2021,1416155700196163587
15,Interested to #workfromhome for a #remote #job in SpotOn Connections as GOLANG DEVELOPER? https://t.co/6fqAogjUCc  #hiring #remotejob #remotework #it #security,Anywhere,Fri Jul 16 22:00:02 +0000 2021,1416155693900521474
16,"RT @Workingnomad1: Senior Manager, Institutional Giving at Code for America https://t.co/2ONjlXUr9A #remotejobs #jobs #nomad #workfromhome…","Portland, Oregon",Fri Jul 16 21:59:33 +0000 2021,1416155570134990850
17,"Many people are making money from ySense from home without investment. Are you looking to #EarnMoneyOnline the simple and FREE way? https://t.co/nEy2NqJVxx

#WorkFromHome #MakeMoneyOnline #makemoneyonlineathome #makemoneyonlinefast #JobsOnline https://t.co/jEfY1D5olN",Liverpool,Fri Jul 16 21:58:03 +0000 2021,1416155192156987394
18,"Discover How To Start ""Siphoning"" High Ticket $1, 000-A-Pop Online Commissions NOWADAYS! Join https://t.co/sdP0Bv8Cwn #workfromhome #earnonline #makemoneyonline #usa https://t.co/YIYe5H4K0t",India,Fri Jul 16 21:48:28 +0000 2021,1416152782411816960
19,"RT @WantRemoteJob: New #remote #job Engineering Management at @wikipedia
https://t.co/PPrTjh85gt
#remotework #vacancy #hiring #workfromhome",Everywhere,Fri Jul 16 21:45:08 +0000 2021,1416151940086513664
20,"New #remote #job Engineering Management at @wikipedia
https://t.co/PPrTjh85gt
#remotework #vacancy #hiring #workfromhome",Worldwide,Fri Jul 16 21:45:02 +0000 2021,1416151918242578434
21,"RT @microbesandlife: After 20 days in hospital, 9 anti-coagulant injections, 8 cannulas, 4 days with a PICC line, 1 massive DVT in my upper…",Anywhere 🤷🏾‍♂️,Fri Jul 16 21:40:32 +0000 2021,1416150783637303296
22,"RT @Linda_U_W_A: Uniquely Your Designs: Starting your Business, Basics - https://t.co/5lihLHdUtn  Find out the basics #Smallbiz #workfromho…","Texas, USA",Fri Jul 16 21:35:39 +0000 2021,1416149556966961160
23,"RT @DailyDelivery5: 48% OFF Modern Computer Desk
Under $30!
Highly rated! 🌟
Clip ✂️ coupon
Walnut or vintage styles
https://t.co/kLYK6fibDY…",Online Directory,Fri Jul 16 21:31:16 +0000 2021,1416148454070493187
24,"How to promote home business effectively: Should you use online advertising? 

Check out the video here:   https://t.co/KdI7gJJ4rr #marketing #workfromhome","Minneapolis, MN",Fri Jul 16 21:30:17 +0000 2021,1416148206904295428
25,"RT @FluffyKitaro: #WorkFromHome command center day 327.

Agent P is ready for the weekend. https://t.co/6wpbvXw8bv","Omaha, NE",Fri Jul 16 21:29:43 +0000 2021,1416148063438184454
26,"RT @PatDryer: Gratitude
Find the good in ""everything"" (good or bad)
There is always something good about it.
Even if it is just a lesson.
I…",New Jersey,Fri Jul 16 21:27:49 +0000 2021,1416147583463010306
27,"Registration is officially OPEN for The Quit Commuting Conference 2021, https://t.co/ky9XQgZ5uP.

#remotejobs #remotework #virtualconference #virtualcareerfair #remotecompanies #hiringnow #workfromhome #diversityhiring #globaljobs #wfh #hybridwork #recruitment #recruiters https://t.co/RsJSNNQ1eq","Atlanta Metro, Georgia",Fri Jul 16 21:27:13 +0000 2021,1416147433944457217
28,You Really Want To Start Making Money Starting TODAY? .. Watch This Short Video NOW ~~&gt; https://t.co/rmyRJ89QRV and reTweet #WorkFromHome #affiliatemarketingtips #moneymatters https://t.co/DoVCVHofpG,The world,Fri Jul 16 21:24:04 +0000 2021,1416146639828525057
29,"Starvox Entertainment Inc. is looking to hire a Customer Service Representative 🔥 • Remote Anywhere • Apply now to be among the first candidates 👇

#customerservice #customerservicejobs #customersupport #remotejobs #workfromhome #GoRemote

https://t.co/NmDtFe6URN",Everywhere,Fri Jul 16 21:19:03 +0000 2021,1416145378039173122
30,"RT @StealthIT1: Need computer help? Contact us today!!
#networksecurity #webdesign #workfromhome #contactme #cybersecurity #supportlocal #s…","Carnegie, VIC, AU, 3163",Fri Jul 16 21:17:36 +0000 2021,1416145013990432769
31,"RT @kcaindec: Work from home fuelling cyber attacks, says global financial watchdog https://t.co/1tefK2Ee7s Most cyber frameworks did not e…",Unknown,Fri Jul 16 21:15:02 +0000 2021,1416144368763875330
32,"RT @kcaindec: Work from home fuelling cyber attacks, says global financial watchdog https://t.co/1tefK2Ee7s Most cyber frameworks did not e…",Neither here nor there,Fri Jul 16 21:14:59 +0000 2021,1416144352804474881
33,6 Ways for Lawyers and Legal Experts to Make Money Online https://t.co/F4pJyYU4f7 #workfromhome #makemoneyonline #wahm #jobs,"Denver, CO",Fri Jul 16 21:14:44 +0000 2021,1416144290783416324
34,"RT @kcaindec: Work from home fuelling cyber attacks, says global financial watchdog https://t.co/1tefK2Ee7s Most cyber frameworks did not e…","California, USA",Fri Jul 16 21:12:00 +0000 2021,1416143605459079169
35,RT @RanaRescue: Here at #RANA we are always busy at work reviewing adoption applications in order to place animals in their forever homes.…,UK,Fri Jul 16 21:11:53 +0000 2021,1416143572982771714
36,"Gratitude
Find the good in ""everything"" (good or bad)
There is always something good about it.
Even if it is just a lesson.
It may release you to move on to something better.

#WorkFromHome #homebusiness #MLM #networkmarketing #Hemp 

https://t.co/HuGhZIegdx via @YouTube","Phoenix, AZ",Fri Jul 16 21:11:51 +0000 2021,1416143567974588418
37,"InnoSource is looking for Customer Service Reps. Pays $12/hr. Must live in or around Reading, PA. For details about this job go here &gt;  https://t.co/GnarJxTDQo #WorkFromHome #remotework","La Porte, Texas",Fri Jul 16 21:10:06 +0000 2021,1416143127417589761
38,"RT @IncluzionJobs: .@mkristensen tweeted a new remote job.

#incluzion #remotejobs #wfh #ReignyDayJobs #remotework #workfromhome #remotewor…","Ontario, CA",Fri Jul 16 21:09:22 +0000 2021,1416142942436302850
39,"RT @IncluzionJobs: .@SEOcopy tweeted a new remote job.

#incluzion #remotejobs #wfh #ReignyDayJobs #remotework #workfromhome #remoteworking…","Ontario, CA",Fri Jul 16 21:09:14 +0000 2021,1416142907959128069
40,"RT @IncluzionJobs: .@sdsnyouthusa tweeted a new remote job.

#incluzion #remotejobs #wfh #ReignyDayJobs #remotework #workfromhome #remotewo…","Ontario, CA",Fri Jul 16 21:09:00 +0000 2021,1416142847770832896
41,"RT @IncluzionJobs: .@AgilityCMS tweeted a new remote job.

#incluzion #remotejobs #wfh #ReignyDayJobs #remotework #workfromhome #remotework…","Ontario, CA",Fri Jul 16 21:08:52 +0000 2021,1416142813482430464
42,"RT @IncluzionJobs: .@OSFramework tweeted a new remote job.

#incluzion #remotejobs #wfh #ReignyDayJobs #remotework #workfromhome #remotewor…","Ontario, CA",Fri Jul 16 21:08:49 +0000 2021,1416142804280123396
43,"RT @kcaindec: Work from home fuelling cyber attacks, says global financial watchdog https://t.co/1tefK2Ee7s Most cyber frameworks did not e…","Hyderabad, India",Fri Jul 16 21:08:44 +0000 2021,1416142783044325381
44,"Work from home fuelling cyber attacks, says global financial watchdog https://t.co/Cj13tMefKk Most cyber frameworks did not envisage a scenario of near-universal remote working #cybersecurity #WFH #infosec #phishing #malware #ransomwareprotection #workfromhome #databreaches",SF Bay Area,Fri Jul 16 21:08:31 +0000 2021,1416142728803471360
45,"RT @IncluzionJobs: .@sdsnyouthusa tweeted a new remote job.

#incluzion #remotejobs #wfh #ReignyDayJobs #remotework #workfromhome #remotewo…",Everywhere,Fri Jul 16 21:07:58 +0000 2021,1416142589015826433
46,"RT @kcaindec: Work from home fuelling cyber attacks, says global financial watchdog https://t.co/1tefK2Ee7s Most cyber frameworks did not e…",India,Fri Jul 16 21:06:57 +0000 2021,1416142333201035264
47,"RT @FarallonTech: Work from home fuelling cyber attacks, says global financial watchdog https://t.co/Zs9LsMrEQ6 Most cyber frameworks did n…",India,Fri Jul 16 21:06:55 +0000 2021,1416142325714194436
48,"Remember Bob? Well, here's another Bob. 

Bob isn't the biggest fan of the whole #workfromhome thing. He just can't wrap his head around all of the perks of shifting his team to work at home after the pandemic. 

#howtoproject #people #management #projectmanagement #empower https://t.co/87jyzccKGc","Toronto, Ontario",Fri Jul 16 21:06:45 +0000 2021,1416142282202484744
49,"12 Critical eBooks That are The Keys to Success When Working As a #Freelancer to Rebuild Your Finances Post CV19 Pandemic.
Review &amp; purchase here: https://t.co/ANlAqlAwrP
#Budgeting #WorkFromHome #FreelanceTraining #AdditionalIncome #Freelancing #SkillsTraining @FrelanceWkGuide https://t.co/2LOpkXVPSH",Worldwide,Fri Jul 16 21:05:18 +0000 2021,1416141916937326598
50,Check out these beautiful wooden desks - forged in Montana #shopsmall #shoplocal #WorkFromHome #wfhlife #Montana #woodendesk https://t.co/ygbqdt4MxV,"81630 Gallatin Rd Bozeman, MT ",Fri Jul 16 21:03:59 +0000 2021,1416141585763475458
51,"RT @microbesandlife: After 20 days in hospital, 9 anti-coagulant injections, 8 cannulas, 4 days with a PICC line, 1 massive DVT in my upper…","Carefree, AZ",Fri Jul 16 21:02:55 +0000 2021,1416141318019960837
52,micro:Pi - An all-in-one educational kit to teach IoT built on Raspberry Pi 3A+ https://t.co/Ib2fPtvlX9 #jobseekers #jobsearch #jobhunting #engineer #engineering #consultant #freelance #freelancer #freelancers #workfromhome #wfh #electronics #makers #makerspace https://t.co/T5ZMoHJnlC,Philippines,Fri Jul 16 21:02:11 +0000 2021,1416141133147611138
53,"""When a thing is done, it's done. Look forward to your next objective""
-
-
-
-
-
-
-
-
#lovinglifenow #workfromhome #lifestyleloveandbeyond #inspiration #success #lifegoals #quotes #quoteoftheday https://t.co/9EGd432l46","Gold Coast, Australia",Fri Jul 16 21:01:00 +0000 2021,1416140834202963975
54,"Need computer help? Contact us today!!
#networksecurity #webdesign #workfromhome #contactme #cybersecurity #supportlocal #smallbusiness #yxj https://t.co/jLzb7dZEd9",Fort St. John,Fri Jul 16 21:00:05 +0000 2021,1416140603038081025
55,"CEO OF CYBERBACKER TRIES FILIPINO TONGUE TWISTER [Part 1] 😁😂 https://t.co/9w4HZi3br1

BE A #CYBERBACKER TODAY! 🥰
Apply here 👉 https://t.co/XA787EBuxZ 

#Cyberbacker #cyberbackerphilippines #onlinejobsphilippines #virtualassistants #remotejobs #hiringjobs2021 #workfromhome","Calamba City, Calabarzon",Fri Jul 16 20:59:32 +0000 2021,1416140465519222784
56,"It's been over a year since we've created our army of virtual games, so we wanted to look back at the past year of working remotely as a team... some of these we admittedly still do. Who else can relate? 🙋‍♂️😜
What are some other things you do working from home? #WorkFromHome https://t.co/bK63KK4JRR",USA & Beyond,Fri Jul 16 20:54:24 +0000 2021,1416139174286184453
57,"48% OFF Modern Computer Desk
Under $30!
Highly rated! 🌟
Clip ✂️ coupon
Walnut or vintage styles
https://t.co/kLYK6fibDY
#amazon #deals #discounts #desk #office #homeoffice #work #computer #home #furniture #writing #gaming #homedecor #workspace #computers #workfromhome #students","Denver, CO",Fri Jul 16 20:53:51 +0000 2021,1416139035794235392
58,RT @CoolMustHaves: Debunking Blogging Myths Part 2 - Affiliate Working Online - https://t.co/Pzbld10nUM 2nd part of debunking blogging myth…,"Pennsylvania, USA",Fri Jul 16 20:52:57 +0000 2021,1416138811470405632
59,RT @CoolMustHaves: Debunking Blogging Myths Part 2 - Affiliate Working Online - https://t.co/Pzbld10nUM 2nd part of debunking blogging myth…,Midwest,Fri Jul 16 20:51:40 +0000 2021,1416138486189527050
60,@StephenAtHome What’s an “office”? Do we do those anymore? #workfromhome #officebedroom 🤷‍♀️,"North West, England",Fri Jul 16 20:51:11 +0000 2021,1416138366270296069
61,CDW Tech Talk Series: Join the Live Experience #patchnow #technology #bigdata #workfromhome #network #security #cybersecurity #collaboration #cdwsocial https://t.co/rYcqGcHCo3 https://t.co/4xBP6xKfbu,"Bellevue, WA",Fri Jul 16 20:50:28 +0000 2021,1416138183318786049
62,"Newspaper jobs available on Careerbarn. Apply to Delivery Driver, Newspaper Carrier, Newspaper Route and more! #jobopenings jobs hiring #workfromhome #employers https://t.co/MLHmicJ2iE","Louisville, KY",Fri Jul 16 20:50:04 +0000 2021,1416138083570012162
63,"RT @CityAM: Workspace CEO: London's working map will change as offices reopen 

It's an opportunity for true innovation https://t.co/dvcy9b…",London,Fri Jul 16 20:49:56 +0000 2021,1416138049478594560
64,FREE OF CHARGE TRAINING INSIDE: How To Earn A 6-Figure Side-Income Online! Join https://t.co/0rzCQ9fQCB #workfromhome #earnonline #makemoneyonline #usa https://t.co/IoD02CyiJK,India,Fri Jul 16 20:48:16 +0000 2021,1416137633055510536
65,RT @NoMachine: Need to #workfromhome? PC in the office? NoMachine gives you 3 ways to keep your #remotedesktop safe. Autolock on disconnect…,The Cloud,Fri Jul 16 20:46:26 +0000 2021,1416137168062398470
66,"New #remote #job Engineering Management at @wikipedia
https://t.co/MQTYSIXbmF
#remotework #hiring #workfromhome",Worldwide,Fri Jul 16 20:45:04 +0000 2021,1416136826654494726
67,5 #Tips for Maximizing Your #Productivity While Working From Home | @ModernLifeBlogs #workfromhome https://t.co/WNL8gfNfqT RT @AmitVAngel https://t.co/OOqpEZaVgw,Brazil,Fri Jul 16 20:41:05 +0000 2021,1416135824274567169
68,"Need to #workfromhome? PC in the office? NoMachine gives you 3 ways to keep your #remotedesktop safe. Autolock on disconnect, blanking the screen, toggling on/off desktop sharing. For more information check out the tutorial here: #Linux #Windows #macOS https://t.co/iQ2WiSHh7g https://t.co/5dR56SiXnG",Everywhere,Fri Jul 16 20:37:00 +0000 2021,1416134794195439620
69,"STAY INVESTED AND DON'T GO BROKE,👌💰💴. #binaryoption #24option #iqoption #binaryoptionsignals #BitcoinCeiba #bitcoin #investment #WorkFromHome #singlemom #binaryoptionstrategies #binaryoptionmanager #binaryoptionpips #Bitcoinmining #bitcoinexchange  #bitcoimaustralia https://t.co/jY7qZuIYy8",Los Angeles California,Fri Jul 16 20:29:22 +0000 2021,1416132875032965120
70,"Chipkoo internships are designed to help you achieve your career goals.

Link to apply: https://t.co/hxNHQiYEzR

#summerinternship #education #students #internship #workfromhome #interns #Global #training #professional #college #continuingeducation #professionaldevelopment https://t.co/vksDtBSo1r","London, United Kingdom",Fri Jul 16 20:29:03 +0000 2021,1416132796645580805
71,Time Management Secrets for College Students: The Underground Playbook for Ma... https://t.co/sr7ixkcLLz via @amazon  #success  #motivation #networking #lifestyle #residualincome #forex #bisnisonline  #business #entrepreneur #money #mlmsuccess #workfromhome #marketing #bitcoin,"Myrtle Beach, SC",Fri Jul 16 20:29:03 +0000 2021,1416132793134891016
72,"@ https://t.co/5NozgibwPY Done FOR You Success with ONPASSIVE's AI that SHARES the Profits WITH You! Check Out ONPASSIVE with a Life Changing no-obligation Free Guest Subscription!
#ONPASSIVE #entrepreneur #WorkFromHome #workathome #passiveincome #FinancialFreedom https://t.co/TEitJykJ1W","Reno, Nevada, USA",Fri Jul 16 20:28:29 +0000 2021,1416132652688572417
73,5 #Tips for Maximizing Your #Productivity While Working From Home | @ModernLifeBlogs #workfromhome https://t.co/MALpVRjsOJ RT @AmitVAngel https://t.co/k47p04avvk,'Merica,Fri Jul 16 20:21:08 +0000 2021,1416130801259974669
74,Up Now 07.14.21 Where the Smart Money Goes for a Mortgage or Refinance / Yesterday is Today: Your Digital Footprint &amp; A Social Media Warning. https://t.co/m2Bm5j7boH via @AJBCSurveys #workfromhome #surveys,"Chicago, Illinois",Fri Jul 16 20:20:30 +0000 2021,1416130641754742794
75,RT @Ladybirdlane1: @YourBizHour We’ve been busy making Retro Telephone Lamps in new colour combinations. Taking pics in a hot conservatory…,"Liverpool, England",Fri Jul 16 20:20:25 +0000 2021,1416130622960160770
76,A comprehensive guide to remote work for both home workers &amp; companies https://t.co/Qh6admSssQ #remotejobs #remotework #COVID #workfromhome #homeoffice #wfh #digitaltransformation #futureofwork https://t.co/peL4mCESZP,Surrey UK,Fri Jul 16 20:19:23 +0000 2021,1416130362539925512
77,RT @PixmaStudio: ‘African Soul’ #nft #nftartist #nftart #nftdrawing #nftcollector #nftthailand #nftartgallery #nftcrypto #nftartwork #nftcr…,MUNICH,Fri Jul 16 20:18:17 +0000 2021,1416130085879435267
78,RT @PixmaStudio: ‘African Soul’ #nft #nftartist #nftart #nftdrawing #nftcollector #nftthailand #nftartgallery #nftcrypto #nftartwork #nftcr…,"Санкт-Петербург, Россия",Fri Jul 16 20:18:09 +0000 2021,1416130052069236745
