,tweets,user_location,tweet_posted_on,tweet_id
0,"RT @CloudDeskApp: For better or worse, working from home is here to stay #workfromhome #productivity #employeemonitoringsoftware #timetrack…","Miami, FL",Mon Jul 26 02:36:22 +0000 2021,1419486724623716355
1,"For better or worse, working from home is here to stay #workfromhome #productivity #employeemonitoringsoftware #timetracking
https://t.co/rs8LYAtfyY","Atlanta, GA",Mon Jul 26 02:35:57 +0000 2021,1419486619183116289
2,"When it's #monday again but you just can't... 😴💤

#Weekday #Singapore #mondaymotivation #memes #fun #workmodeon #workfromhome #COVID19 https://t.co/iIEciy1YyT",Singapore,Mon Jul 26 02:30:13 +0000 2021,1419485177458397189
3,"Order Here:- https://t.co/dAxKabhiQy  
#workfromhome #weightloss #youtube #yoga #you #zara #hair #happiness #instagram #instagood #instadaily #love #lifestyle #model
$43.94  
Brand Name: BRDRC
Camera Features: 1080p HD Video Recording
Camera Features: 4K HD Video Recording
... https://t.co/5fU8j3IEGC","Kandivali East, Mumbai",Mon Jul 26 02:29:33 +0000 2021,1419485008331362312
4,Become a Business Owner With Zero Home Business Startup Fees! ~ https://t.co/MIS1XqX4jl #HomeBusiness #WorkFromHome https://t.co/fhREQEiBTa,"Chapala, Jalisco Mexico",Mon Jul 26 02:18:13 +0000 2021,1419482155416162309
5,"Take a look at this!

Over the next five years, the number of people working remotely is expected to rise considerably. If you’re working from home, you might be dreaming of extra space for your home office or longing for a change of scenery since...
#workfromhome #homeoffice https://t.co/kcZz70EyDM","Somerset, MA",Mon Jul 26 02:01:03 +0000 2021,1419477836897820675
6,"Soak up some Summer Fun in the Spanish queue! 😎 ☀️ 

Tap on the link to log in: https://t.co/GwkDrqi9fT

#CrowdSurf #workfromhome #Spanish #remotework",USA,Mon Jul 26 01:58:00 +0000 2021,1419477068799168519
7,"JOIN US FOR FINANCIAL FREEDOM

#crizernetwork #PadamBisht #workfromhome #bussinessconsultant #earning #motivation #bussiness #onlineearning #businessideas
https://t.co/fq3I2stm3k https://t.co/IGI2cpOYew","Bengaluru South, India",Mon Jul 26 01:55:22 +0000 2021,1419476406640148481
8,Nearly got baby to sleep ahead of zoom meeting at 2 #mumlife definitely different from being in an office! #workfromhome #stayathomemum,New Zealand,Mon Jul 26 01:50:17 +0000 2021,1419475124999180288
9,"RT @mymoneytips: Top Affiliate Marketing Systems: https://t.co/f1f9UmIlqg
#makemoneyonline #workfromhome #digitalmarketing
#webmarketing #i…","San Diego, CA",Mon Jul 26 01:48:50 +0000 2021,1419474763852832772
10,I gotta get the ball rolling ! 💫✊🏾😎 #WorkFromHome,"Manila, Luzon",Mon Jul 26 01:48:10 +0000 2021,1419474593333448706
11,"New #COVID19 cases continue to trend up while recoveries are trending down, leaving a frighteningly rise in the number of #CoronaVirus cases in #pandemic hospital care in #Thailand.

#WearAMask #WashYourHands #KeepYourDistance #WorkFromHome #SafeAtHome https://t.co/ZWTIwigi3X","Bangkok, Thailand",Mon Jul 26 01:45:49 +0000 2021,1419474004822220804
12,"I am both 1099 AND I own a separate business. So, I am attending! Anyone wants to attend with me?

 #smallbusinessowner #smallbiz #smallbusinesstips #smallbusinessowners 
#workfromhome #workfromhomemom #workfromhomedad #workfromhomedads #workfromhomelife #workfromhomejobs https://t.co/CwMrzLYTRJ",Dallas and North Texas,Mon Jul 26 01:45:01 +0000 2021,1419473800538820610
13,"Customer Service Representative – Work from home, in Kentucky – Express Scripts https://t.co/BLt9eUlNNz 
Full Job Description Customer Service Advocate – Patient Care, Work from home in Kentucky Have
#workfromhome #remotejobs https://t.co/6Yxrw3ejr7","iPhone: 35.698898,-82.573883",Mon Jul 26 01:40:03 +0000 2021,1419472552800444417
14,RT @LevaDuell: Work at Home Medical Billing and Coding Jobs with Quick Med Claims Review. #medical #coding  #workfromhome #jobs #billing #W…,Coding World!,Mon Jul 26 01:37:18 +0000 2021,1419471857623896064
15,RT @SARaffiliates: Hey #writingcommunity #affiliates #blogs #rt #authors #workfromhome let's do a #shamelessselfpromosunday #writerslift #l…,"Florida, USA",Mon Jul 26 01:37:09 +0000 2021,1419471821091524611
16,Happy Monday💗 #WorkFromHome https://t.co/VucXmK4xC1,"Kepala Batas, Pulau Pinang",Mon Jul 26 01:36:21 +0000 2021,1419471620842803203
17,"How to stay healthy when you work at home 

https://t.co/1OtT7CdtZr

#hbloggers #mbloggers #healthy #workfromhome https://t.co/UwOqbiqcRR","Gloucestershire, South West UK",Mon Jul 26 01:28:07 +0000 2021,1419469550345670661
18,Take this info instantly prior to it all goes away because of the fact that it most certainly change the way you construct your online business https://t.co/ThmsPHblhk #Motivation #WorkFromHome #VideoMarketing https://t.co/5QRE0evBgp,"New York, NY",Mon Jul 26 01:25:36 +0000 2021,1419468914090823680
19,"Contextual knowledge &amp; conversational guidance helps #WorkFromHome #ContactCenter agents deliver fast, accurate answers w/ little to no #onboarding &amp; #training. @eGain's Anand Subramaniam discusses #knowledge tools 4 #remote workers &amp; tips 4 #WFH success https://t.co/wCH45JfE0W",Seattle,Mon Jul 26 01:25:01 +0000 2021,1419468769072721920
20,"RT @Rockshouter1: Work in progress
#stoneart
#lordshiva #WorkFromHome https://t.co/0PKwsNmVYl",Santa Monica,Mon Jul 26 01:23:13 +0000 2021,1419468317010497537
21,"RT @BCNewsWire: Suddenly, that company’s best employees were “the quiet ones who would just get on a call with a client and listen” #WorkFr…","Nanaimo, BC",Mon Jul 26 01:22:01 +0000 2021,1419468014576013314
22,"RT @sleepy_kc: #Workfromhome... the endless cycle 😴
Respect to all of the animators out there! 😤🙏✨ I’m not an animator, this is as close as…",東京,Mon Jul 26 01:19:38 +0000 2021,1419467412118802436
23,"RT @Rockshouter1: Work in progress
#stoneart
#lordshiva #WorkFromHome https://t.co/0PKwsNmVYl","Jaipur & Ahmedabad, India",Mon Jul 26 01:18:48 +0000 2021,1419467201870852099
24,"RT @VACafeOnline: The Top 3 VA Niches and the Skills You Need to Get There https://t.co/f6y5WzZ5PM

#virtualassistant #virtuallifestyle #wo…",Global,Mon Jul 26 01:18:02 +0000 2021,1419467009868419081
